Date,Open,High,Low,Close,Adj Close,Volume
2025-12-04,322.23,322.36,314.70,317.62,317.19,31240900
2025-12-05,319.49,323.16,319.17,321.27,320.83,28851700
2025-12-08,320.05,320.44,311.22,313.72,313.50,33909400
2025-12-09,312.37,317.99,311.90,317.08,316.86,30194000
2025-12-10,315.83,321.31,314.68,320.21,319.98,33428900
2025-12-11,320.08,321.12,308.60,312.43,312.21,42353700
2025-12-12,313.70,314.87,305.56,309.29,309.07,35940200
2025-12-15,311.32,311.42,304.88,308.22,308.00,29151900
2025-12-16,304.95,310.77,302.59,306.57,306.35,30585000
2025-12-17,308.01,308.09,296.12,296.72,296.51,43930400
2025-12-18,301.72,303.96,299.23,302.46,302.25,33518000
2025-12-19,301.73,307.25,300.97,307.16,306.94,59943200
2025-12-22,309.88,310.13,305.30,309.78,309.56,26429900
2025-12-23,309.63,314.94,309.32,314.35,314.13,25478700
2025-12-24,314.77,315.08,311.92,314.09,313.87,10097400
2025-12-26,314.48,315.09,312.28,313.51,313.29,10899000
2025-12-29,311.37,314.02,310.62,313.56,313.34,19621800
2025-12-30,312.50,316.95,312.46,313.85,313.63,17380900
2025-12-31,312.85,314.58,311.44,313.00,312.78,16377700
2026-01-02,316.90,322.50,310.33,315.15,314.93,32009400
2026-01-05,317.66,319.02,314.63,316.54,316.32,30195600
2026-01-06,316.40,320.94,311.78,314.34,314.12,31212100
2026-01-07,314.36,326.15,314.19,321.98,321.75,35104400
2026-01-08,328.97,330.32,321.50,325.44,325.21,31896100
2026-01-09,327.09,330.83,325.80,328.57,328.34,26214200
2026-01-12,325.80,334.04,325.00,331.86,331.63,33923900
2026-01-13,334.95,340.49,333.62,335.97,335.73,33517600
2026-01-14,335.06,336.52,330.48,335.84,335.60,28525600
2026-01-15,337.65,337.69,330.74,332.78,332.55,28442400
2026-01-16,334.41,334.65,327.70,330.00,329.77,40341600
2026-01-20,320.87,327.73,320.43,322.00,321.77,35361000
2026-01-21,320.92,332.48,319.35,328.38,328.15,35386600
2026-01-22,334.45,335.15,328.75,330.54,330.31,26253600
2026-01-23,332.49,333.69,327.45,327.93,327.70,27280000
2026-01-26,327.81,335.84,327.00,333.26,333.03,26042100
2026-01-27,335.37,337.91,333.48,334.55,334.31,21636200
